train_id,train_number,service_date,section_id,section_name,train_type,scheduled_entry,scheduled_exit,historical_delay_minutes,direction,operational_status
TR-11019,11019,2026-09-07,SEC-A01,Nagpur–Wardha,PASSENGER,2026-09-07 20:32:07.106627,2026-09-07 21:02:07.106627,14,DN,RUNNING
TR-11020,11020,2026-09-07,SEC-A01,Nagpur–Wardha,FREIGHT,2026-09-07 21:57:37.140541,2026-09-07 22:42:37.140541,6,DN,SCHEDULED
TR-11021,11021,2026-09-07,SEC-A01,Nagpur–Wardha,PASSENGER,2026-09-07 22:52:41.425962,2026-09-07 23:32:41.425962,4,DN,SCHEDULED
TR-11022,11022,2026-09-07,SEC-A02,Wardha–Badnera,PASSENGER,2026-09-07 00:09:18.334686,2026-09-07 00:34:18.334686,0,DN,SCHEDULED
TR-11023,11023,2026-09-07,SEC-A02,Wardha–Badnera,EXPRESS,2026-09-07 01:10:46.123526,2026-09-07 01:40:46.123526,0,UP,DELAYED
TR-11024,11024,2026-09-07,SEC-A02,Wardha–Badnera,PASSENGER,2026-09-07 02:01:08.561274,2026-09-07 02:31:08.561274,4,DN,RUNNING
TR-11025,11025,2026-09-07,SEC-A02,Wardha–Badnera,FREIGHT,2026-09-07 03:08:19.158167,2026-09-07 03:48:19.158167,0,UP,RUNNING
TR-11026,11026,2026-09-07,SEC-A02,Wardha–Badnera,EXPRESS,2026-09-07 04:18:41.139190,2026-09-07 05:03:41.139190,6,DN,DELAYED
TR-11027,11027,2026-09-07,SEC-A02,Wardha–Badnera,EXPRESS,2026-09-07 05:25:09.558750,2026-09-07 05:50:09.558750,0,UP,RUNNING
TR-11028,11028,2026-09-07,SEC-A02,Wardha–Badnera,FREIGHT,2026-09-07 06:40:17.822255,2026-09-07 07:05:17.822255,5,UP,RUNNING
TR-11029,11029,2026-09-07,SEC-A02,Wardha–Badnera,PASSENGER,2026-09-07 07:32:57.681932,2026-09-07 08:12:57.681932,0,DN,DELAYED
TR-11030,11030,2026-09-07,SEC-A02,Wardha–Badnera,FREIGHT,2026-09-07 08:57:36.831338,2026-09-07 09:32:36.831338,20,DN,DELAYED
TR-11031,11031,2026-09-07,SEC-A02,Wardha–Badnera,EXPRESS,2026-09-07 09:37:31.072277,2026-09-07 10:12:31.072277,3,UP,RUNNING
TR-11032,11032,2026-09-07,SEC-A02,Wardha–Badnera,PASSENGER,2026-09-07 11:07:06.355916,2026-09-07 11:52:06.355916,0,UP,RUNNING
TR-11033,11033,2026-09-07,SEC-A02,Wardha–Badnera,PASSENGER,2026-09-07 11:48:32.150975,2026-09-07 12:23:32.150975,9,DN,SCHEDULED
TR-11034,11034,2026-09-07,SEC-A02,Wardha–Badnera,FREIGHT,2026-09-07 13:05:46.757492,2026-09-07 13:45:46.757492,0,DN,RUNNING
TR-11035,11035,2026-09-07,SEC-A02,Wardha–Badnera,FREIGHT,2026-09-07 14:01:28.902113,2026-09-07 14:46:28.902113,9,UP,DELAYED
TR-11036,11036,2026-09-07,SEC-A02,Wardha–Badnera,PASSENGER,2026-09-07 15:06:22.176125,2026-09-07 15:41:22.176125,0,DN,RUNNING
TR-11037,11037,2026-09-07,SEC-A02,Wardha–Badnera,SPECIAL,2026-09-07 16:25:24.028871,2026-09-07 17:00:24.028871,0,DN,SCHEDULED
TR-11038,11038,2026-09-07,SEC-A02,Wardha–Badnera,SPECIAL,2026-09-07 17:18:07.594921,2026-09-07 17:58:07.594921,5,DN,RUNNING
TR-11039,11039,2026-09-07,SEC-A02,Wardha–Badnera,EXPRESS,2026-09-07 18:38:16.090371,2026-09-07 19:18:16.090371,9,DN,RUNNING
TR-11040,11040,2026-09-07,SEC-A02,Wardha–Badnera,PASSENGER,2026-09-07 19:28:11.965368,2026-09-07 20:13:11.965368,5,UP,RUNNING
TR-11041,11041,2026-09-07,SEC-A02,Wardha–Badnera,FREIGHT,2026-09-07 20:29:37.032975,2026-09-07 20:59:37.032975,7,UP,RUNNING
TR-11042,11042,2026-09-07,SEC-A02,Wardha–Badnera,FREIGHT,2026-09-07 21:51:03.625376,2026-09-07 22:31:03.625376,5,UP,DELAYED
TR-11043,11043,2026-09-07,SEC-A02,Wardha–Badnera,EXPRESS,2026-09-07 22:42:58.299245,2026-09-07 23:27:58.299245,0,DN,DELAYED
TR-11044,11044,2026-09-07,SEC-B01,Badnera–Akola,EXPRESS,2026-09-07 00:09:40.699670,2026-09-07 00:34:40.699670,0,DN,DELAYED
TR-11045,11045,2026-09-07,SEC-B01,Badnera–Akola,PASSENGER,2026-09-07 01:21:33.375483,2026-09-07 02:01:33.375483,0,UP,RUNNING
TR-11046,11046,2026-09-07,SEC-B01,Badnera–Akola,FREIGHT,2026-09-07 03:11:14.657723,2026-09-07 03:36:14.657723,15,DN,SCHEDULED
TR-11047,11047,2026-09-07,SEC-B01,Badnera–Akola,EXPRESS,2026-09-07 04:28:10.325826,2026-09-07 04:53:10.325826,6,UP,SCHEDULED
TR-11048,11048,2026-09-07,SEC-B01,Badnera–Akola,FREIGHT,2026-09-07 06:09:19.264890,2026-09-07 06:54:19.264890,0,DN,SCHEDULED
TR-11049,11049,2026-09-07,SEC-B01,Badnera–Akola,EXPRESS,2026-09-07 07:33:29.072160,2026-09-07 08:03:29.072160,6,UP,DELAYED
TR-11050,11050,2026-09-07,SEC-B01,Badnera–Akola,FREIGHT,2026-09-07 08:55:31.467862,2026-09-07 09:30:31.467862,5,UP,RUNNING
TR-11051,11051,2026-09-07,SEC-B01,Badnera–Akola,PASSENGER,2026-09-07 10:44:22.200282,2026-09-07 11:19:22.200282,0,DN,DELAYED
TR-11052,11052,2026-09-07,SEC-B01,Badnera–Akola,PASSENGER,2026-09-07 12:14:33.878944,2026-09-07 12:39:33.878944,8,DN,SCHEDULED
TR-11053,11053,2026-09-07,SEC-B01,Badnera–Akola,EXPRESS,2026-09-07 13:44:46.475206,2026-09-07 14:14:46.475206,11,UP,SCHEDULED
TR-11054,11054,2026-09-07,SEC-B01,Badnera–Akola,EXPRESS,2026-09-07 14:49:23.238198,2026-09-07 15:24:23.238198,10,DN,RUNNING
TR-11055,11055,2026-09-07,SEC-B01,Badnera–Akola,FREIGHT,2026-09-07 16:19:15.908940,2026-09-07 16:54:15.908940,2,DN,RUNNING
TR-11056,11056,2026-09-07,SEC-B01,Badnera–Akola,FREIGHT,2026-09-07 17:47:15.929292,2026-09-07 18:12:15.929292,5,DN,RUNNING
TR-11057,11057,2026-09-07,SEC-B01,Badnera–Akola,PASSENGER,2026-09-07 19:28:38.452168,2026-09-07 20:08:38.452168,6,UP,SCHEDULED
TR-11058,11058,2026-09-07,SEC-B01,Badnera–Akola,FREIGHT,2026-09-07 21:06:55.677487,2026-09-07 21:46:55.677487,14,DN,SCHEDULED
TR-11059,11059,2026-09-07,SEC-B01,Badnera–Akola,PASSENGER,2026-09-07 22:38:52.220268,2026-09-07 23:18:52.220268,0,DN,SCHEDULED
TR-11060,11060,2026-09-07,SEC-B02,Akola–Bhusawal,EXPRESS,2026-09-07 23:59:50.486906,2026-09-08 00:34:50.486906,2,DN,DELAYED
TR-11061,11061,2026-09-07,SEC-B02,Akola–Bhusawal,EXPRESS,2026-09-07 01:32:20.280552,2026-09-07 02:17:20.280552,0,DN,SCHEDULED
TR-11062,11062,2026-09-07,SEC-B02,Akola–Bhusawal,PASSENGER,2026-09-07 02:46:22.697266,2026-09-07 03:26:22.697266,0,UP,RUNNING
TR-11063,11063,2026-09-07,SEC-B02,Akola–Bhusawal,PASSENGER,2026-09-07 04:28:41.732645,2026-09-07 05:08:41.732645,9,UP,RUNNING
TR-11064,11064,2026-09-07,SEC-B02,Akola–Bhusawal,PASSENGER,2026-09-07 05:49:46.159433,2026-09-07 06:24:46.159433,13,DN,RUNNING
TR-11065,11065,2026-09-07,SEC-B02,Akola–Bhusawal,PASSENGER,2026-09-07 07:17:28.356955,2026-09-07 07:47:28.356955,3,DN,SCHEDULED
TR-11066,11066,2026-09-07,SEC-B02,Akola–Bhusawal,EXPRESS,2026-09-07 08:57:52.615693,2026-09-07 09:22:52.615693,11,UP,SCHEDULED
TR-11067,11067,2026-09-07,SEC-B02,Akola–Bhusawal,FREIGHT,2026-09-07 10:29:18.252075,2026-09-07 10:59:18.252075,10,DN,SCHEDULED
TR-11068,11068,2026-09-07,SEC-B02,Akola–Bhusawal,EXPRESS,2026-09-07 11:45:14.512624,2026-09-07 12:20:14.512624,0,DN,SCHEDULED
TR-11069,11069,2026-09-07,SEC-B02,Akola–Bhusawal,FREIGHT,2026-09-07 13:29:19.860435,2026-09-07 13:59:19.860435,10,UP,SCHEDULED
TR-11070,11070,2026-09-07,SEC-B02,Akola–Bhusawal,PASSENGER,2026-09-07 14:54:24.032659,2026-09-07 15:29:24.032659,14,UP,SCHEDULED
TR-11071,11071,2026-09-07,SEC-B02,Akola–Bhusawal,PASSENGER,2026-09-07 16:17:03.140894,2026-09-07 17:02:03.140894,3,UP,RUNNING
TR-11072,11072,2026-09-07,SEC-B02,Akola–Bhusawal,FREIGHT,2026-09-07 17:55:32.137894,2026-09-07 18:25:32.137894,18,UP,RUNNING
TR-11073,11073,2026-09-07,SEC-B02,Akola–Bhusawal,EXPRESS,2026-09-07 19:33:28.936823,2026-09-07 20:13:28.936823,0,UP,SCHEDULED
TR-11074,11074,2026-09-07,SEC-B02,Akola–Bhusawal,FREIGHT,2026-09-07 20:49:12.023655,2026-09-07 21:14:12.023655,13,DN,RUNNING
TR-11075,11075,2026-09-07,SEC-B02,Akola–Bhusawal,EXPRESS,2026-09-07 22:43:53.847679,2026-09-07 23:18:53.847679,4,UP,RUNNING
TR-11076,11076,2026-09-07,SEC-C01,Bhusawal–Jalgaon,FREIGHT,2026-09-07 00:04:20.317023,2026-09-07 00:34:20.317023,5,DN,SCHEDULED
TR-11077,11077,2026-09-07,SEC-C01,Bhusawal–Jalgaon,PASSENGER,2026-09-07 02:34:26.205788,2026-09-07 03:09:26.205788,4,UP,RUNNING
TR-11078,11078,2026-09-07,SEC-C01,Bhusawal–Jalgaon,EXPRESS,2026-09-07 04:41:51.975692,2026-09-07 05:06:51.975692,0,UP,RUNNING
TR-11079,11079,2026-09-07,SEC-C01,Bhusawal–Jalgaon,FREIGHT,2026-09-07 07:08:34.594035,2026-09-07 07:38:34.594035,6,UP,DELAYED
TR-11080,11080,2026-09-07,SEC-C01,Bhusawal–Jalgaon,SPECIAL,2026-09-07 09:47:39.704151,2026-09-07 10:12:39.704151,6,DN,SCHEDULED
TR-11081,11081,2026-09-07,SEC-C01,Bhusawal–Jalgaon,FREIGHT,2026-09-07 11:56:36.308848,2026-09-07 12:41:36.308848,18,UP,RUNNING
TR-11082,11082,2026-09-07,SEC-C01,Bhusawal–Jalgaon,PASSENGER,2026-09-07 14:37:38.015371,2026-09-07 15:02:38.015371,0,UP,SCHEDULED
TR-11083,11083,2026-09-07,SEC-C01,Bhusawal–Jalgaon,EXPRESS,2026-09-07 16:40:51.933499,2026-09-07 17:05:51.933499,0,DN,DELAYED
TR-11084,11084,2026-09-07,SEC-C01,Bhusawal–Jalgaon,EXPRESS,2026-09-07 19:05:35.678040,2026-09-07 19:50:35.678040,0,DN,RUNNING
TR-11085,11085,2026-09-07,SEC-C01,Bhusawal–Jalgaon,FREIGHT,2026-09-07 21:23:28.370061,2026-09-07 22:08:28.370061,14,UP,RUNNING
TR-11086,11086,2026-09-08,SEC-A01,Nagpur–Wardha,FREIGHT,2026-09-08 23:47:30.474733,2026-09-09 00:12:30.474733,10,UP,SCHEDULED
TR-11087,11087,2026-09-08,SEC-A01,Nagpur–Wardha,FREIGHT,2026-09-08 01:06:32.775038,2026-09-08 01:46:32.775038,4,UP,RUNNING
TR-11088,11088,2026-09-08,SEC-A01,Nagpur–Wardha,PASSENGER,2026-09-08 02:16:52.162041,2026-09-08 02:46:52.162041,7,UP,RUNNING
TR-11089,11089,2026-09-08,SEC-A01,Nagpur–Wardha,FREIGHT,2026-09-08 03:04:50.594029,2026-09-08 03:49:50.594029,8,DN,SCHEDULED
TR-11090,11090,2026-09-08,SEC-A01,Nagpur–Wardha,EXPRESS,2026-09-08 04:10:24.088322,2026-09-08 04:40:24.088322,10,UP,RUNNING
TR-11091,11091,2026-09-08,SEC-A01,Nagpur–Wardha,FREIGHT,2026-09-08 05:40:51.792800,2026-09-08 06:25:51.792800,3,DN,SCHEDULED
TR-11092,11092,2026-09-08,SEC-A01,Nagpur–Wardha,EXPRESS,2026-09-08 06:28:53.001339,2026-09-08 07:03:53.001339,1,UP,SCHEDULED
TR-11093,11093,2026-09-08,SEC-A01,Nagpur–Wardha,PASSENGER,2026-09-08 07:33:13.928938,2026-09-08 08:13:13.928938,1,UP,RUNNING
TR-11094,11094,2026-09-08,SEC-A01,Nagpur–Wardha,FREIGHT,2026-09-08 08:50:00.363665,2026-09-08 09:35:00.363665,0,DN,RUNNING
TR-11095,11095,2026-09-08,SEC-A01,Nagpur–Wardha,FREIGHT,2026-09-08 09:49:24.861928,2026-09-08 10:14:24.861928,10,UP,RUNNING
TR-11096,11096,2026-09-08,SEC-A01,Nagpur–Wardha,EXPRESS,2026-09-08 10:44:15.885239,2026-09-08 11:09:15.885239,5,UP,SCHEDULED
TR-11097,11097,2026-09-08,SEC-A01,Nagpur–Wardha,PASSENGER,2026-09-08 12:07:13.403932,2026-09-08 12:32:13.403932,4,UP,SCHEDULED
TR-11098,11098,2026-09-08,SEC-A01,Nagpur–Wardha,FREIGHT,2026-09-08 12:51:50.039481,2026-09-08 13:26:50.039481,6,UP,SCHEDULED
TR-11099,11099,2026-09-08,SEC-A01,Nagpur–Wardha,FREIGHT,2026-09-08 14:23:50.633593,2026-09-08 14:48:50.633593,0,DN,SCHEDULED
TR-11100,11100,2026-09-08,SEC-A01,Nagpur–Wardha,EXPRESS,2026-09-08 15:11:01.061808,2026-09-08 15:51:01.061808,1,DN,RUNNING
TR-11101,11101,2026-09-08,SEC-A01,Nagpur–Wardha,FREIGHT,2026-09-08 16:31:35.885501,2026-09-08 17:16:35.885501,5,UP,SCHEDULED
TR-11102,11102,2026-09-08,SEC-A01,Nagpur–Wardha,SPECIAL,2026-09-08 17:18:58.096746,2026-09-08 18:03:58.096746,0,DN,SCHEDULED
TR-11103,11103,2026-09-08,SEC-A01,Nagpur–Wardha,EXPRESS,2026-09-08 18:44:02.220592,2026-09-08 19:19:02.220592,2,DN,RUNNING
TR-11104,11104,2026-09-08,SEC-A01,Nagpur–Wardha,PASSENGER,2026-09-08 19:25:46.403031,2026-09-08 20:05:46.403031,6,UP,RUNNING
TR-11105,11105,2026-09-08,SEC-A01,Nagpur–Wardha,EXPRESS,2026-09-08 20:45:33.033952,2026-09-08 21:20:33.033952,17,UP,RUNNING
TR-11106,11106,2026-09-08,SEC-A01,Nagpur–Wardha,SPECIAL,2026-09-08 21:45:08.347075,2026-09-08 22:25:08.347075,5,UP,DELAYED
TR-11107,11107,2026-09-08,SEC-A01,Nagpur–Wardha,PASSENGER,2026-09-08 23:02:21.595269,2026-09-08 23:32:21.595269,5,DN,SCHEDULED
TR-11108,11108,2026-09-08,SEC-A02,Wardha–Badnera,FREIGHT,2026-09-08 23:51:59.395935,2026-09-09 00:26:59.395935,7,UP,RUNNING
TR-11109,11109,2026-09-08,SEC-A02,Wardha–Badnera,EXPRESS,2026-09-08 00:50:29.904400,2026-09-08 01:30:29.904400,0,DN,SCHEDULED
TR-11110,11110,2026-09-08,SEC-A02,Wardha–Badnera,FREIGHT,2026-09-08 02:02:03.895326,2026-09-08 02:32:03.895326,7,UP,SCHEDULED
TR-11111,11111,2026-09-08,SEC-A02,Wardha–Badnera,PASSENGER,2026-09-08 03:22:42.792636,2026-09-08 03:47:42.792636,4,UP,DELAYED
TR-11112,11112,2026-09-08,SEC-A02,Wardha–Badnera,FREIGHT,2026-09-08 04:19:12.593155,2026-09-08 04:54:12.593155,25,UP,DELAYED
TR-11113,11113,2026-09-08,SEC-A02,Wardha–Badnera,FREIGHT,2026-09-08 05:15:08.402246,2026-09-08 05:45:08.402246,6,DN,SCHEDULED
TR-11114,11114,2026-09-08,SEC-A02,Wardha–Badnera,FREIGHT,2026-09-08 06:35:29.048738,2026-09-08 07:00:29.048738,10,UP,SCHEDULED
TR-11115,11115,2026-09-08,SEC-A02,Wardha–Badnera,EXPRESS,2026-09-08 07:31:55.925934,2026-09-08 08:06:55.925934,3,DN,RUNNING
TR-11116,11116,2026-09-08,SEC-A02,Wardha–Badnera,PASSENGER,2026-09-08 08:38:10.685713,2026-09-08 09:13:10.685713,0,UP,SCHEDULED
TR-11117,11117,2026-09-08,SEC-A02,Wardha–Badnera,PASSENGER,2026-09-08 09:57:29.341114,2026-09-08 10:42:29.341114,11,UP,SCHEDULED
TR-11118,11118,2026-09-08,SEC-A02,Wardha–Badnera,FREIGHT,2026-09-08 10:53:01.947419,2026-09-08 11:28:01.947419,13,DN,SCHEDULED
TR-11119,11119,2026-09-08,SEC-A02,Wardha–Badnera,PASSENGER,2026-09-08 11:58:33.450738,2026-09-08 12:38:33.450738,9,UP,SCHEDULED
TR-11120,11120,2026-09-08,SEC-A02,Wardha–Badnera,EXPRESS,2026-09-08 12:55:10.980406,2026-09-08 13:30:10.980406,0,UP,SCHEDULED
TR-11121,11121,2026-09-08,SEC-A02,Wardha–Badnera,PASSENGER,2026-09-08 14:20:59.210006,2026-09-08 14:55:59.210006,13,UP,RUNNING
TR-11122,11122,2026-09-08,SEC-A02,Wardha–Badnera,FREIGHT,2026-09-08 15:13:15.058215,2026-09-08 15:38:15.058215,0,DN,SCHEDULED
TR-11123,11123,2026-09-08,SEC-A02,Wardha–Badnera,EXPRESS,2026-09-08 16:07:45.038677,2026-09-08 16:47:45.038677,8,UP,SCHEDULED
TR-11124,11124,2026-09-08,SEC-A02,Wardha–Badnera,PASSENGER,2026-09-08 17:26:08.041484,2026-09-08 17:56:08.041484,19,UP,SCHEDULED
TR-11125,11125,2026-09-08,SEC-A02,Wardha–Badnera,FREIGHT,2026-09-08 18:21:38.923791,2026-09-08 19:01:38.923791,1,UP,DELAYED
TR-11126,11126,2026-09-08,SEC-A02,Wardha–Badnera,PASSENGER,2026-09-08 19:40:45.922845,2026-09-08 20:05:45.922845,0,UP,SCHEDULED
TR-11127,11127,2026-09-08,SEC-A02,Wardha–Badnera,EXPRESS,2026-09-08 20:55:42.674766,2026-09-08 21:35:42.674766,4,UP,RUNNING
TR-11128,11128,2026-09-08,SEC-A02,Wardha–Badnera,PASSENGER,2026-09-08 21:37:46.004332,2026-09-08 22:17:46.004332,0,DN,RUNNING
TR-11129,11129,2026-09-08,SEC-A02,Wardha–Badnera,FREIGHT,2026-09-08 22:54:25.754777,2026-09-08 23:34:25.754777,0,UP,RUNNING
TR-11130,11130,2026-09-08,SEC-B01,Badnera–Akola,PASSENGER,2026-09-08 23:51:26.488991,2026-09-09 00:21:26.488991,4,DN,SCHEDULED
TR-11131,11131,2026-09-08,SEC-B01,Badnera–Akola,FREIGHT,2026-09-08 01:16:02.368999,2026-09-08 02:01:02.368999,0,DN,RUNNING
TR-11132,11132,2026-09-08,SEC-B01,Badnera–Akola,FREIGHT,2026-09-08 02:57:21.585971,2026-09-08 03:42:21.585971,11,UP,RUNNING
TR-11133,11133,2026-09-08,SEC-B01,Badnera–Akola,PASSENGER,2026-09-08 04:26:29.427497,2026-09-08 05:06:29.427497,0,UP,DELAYED
TR-11134,11134,2026-09-08,SEC-B01,Badnera–Akola,EXPRESS,2026-09-08 06:08:50.723240,2026-09-08 06:48:50.723240,14,DN,RUNNING
TR-11135,11135,2026-09-08,SEC-B01,Badnera–Akola,PASSENGER,2026-09-08 07:31:20.132051,2026-09-08 08:11:20.132051,0,DN,RUNNING
TR-11136,11136,2026-09-08,SEC-B01,Badnera–Akola,PASSENGER,2026-09-08 08:53:06.784233,2026-09-08 09:18:06.784233,1,UP,SCHEDULED
TR-11137,11137,2026-09-08,SEC-B01,Badnera–Akola,PASSENGER,2026-09-08 10:41:52.376607,2026-09-08 11:16:52.376607,9,DN,DELAYED
TR-11138,11138,2026-09-08,SEC-B01,Badnera–Akola,SPECIAL,2026-09-08 11:55:43.379207,2026-09-08 12:40:43.379207,0,UP,SCHEDULED
TR-11139,11139,2026-09-08,SEC-B01,Badnera–Akola,PASSENGER,2026-09-08 13:22:26.142697,2026-09-08 13:52:26.142697,5,UP,SCHEDULED
TR-11140,11140,2026-09-08,SEC-B01,Badnera–Akola,FREIGHT,2026-09-08 15:02:16.245796,2026-09-08 15:42:16.245796,17,UP,SCHEDULED
TR-11141,11141,2026-09-08,SEC-B01,Badnera–Akola,EXPRESS,2026-09-08 16:22:05.792039,2026-09-08 16:57:05.792039,0,DN,DELAYED
TR-11142,11142,2026-09-08,SEC-B01,Badnera–Akola,EXPRESS,2026-09-08 17:45:50.771826,2026-09-08 18:20:50.771826,5,UP,DELAYED
TR-11143,11143,2026-09-08,SEC-B01,Badnera–Akola,FREIGHT,2026-09-08 19:43:27.063311,2026-09-08 20:23:27.063311,9,UP,RUNNING
TR-11144,11144,2026-09-08,SEC-B01,Badnera–Akola,PASSENGER,2026-09-08 20:46:08.334734,2026-09-08 21:11:08.334734,9,UP,SCHEDULED
TR-11145,11145,2026-09-08,SEC-B01,Badnera–Akola,PASSENGER,2026-09-08 22:30:47.607325,2026-09-08 22:55:47.607325,0,UP,SCHEDULED
TR-11146,11146,2026-09-08,SEC-B02,Akola–Bhusawal,EXPRESS,2026-09-08 23:55:13.366280,2026-09-09 00:25:13.366280,0,DN,SCHEDULED
TR-11147,11147,2026-09-08,SEC-B02,Akola–Bhusawal,EXPRESS,2026-09-08 01:15:39.443213,2026-09-08 02:00:39.443213,7,UP,SCHEDULED
TR-11148,11148,2026-09-08,SEC-B02,Akola–Bhusawal,SPECIAL,2026-09-08 03:10:23.665598,2026-09-08 03:45:23.665598,6,DN,RUNNING
TR-11149,11149,2026-09-08,SEC-B02,Akola–Bhusawal,PASSENGER,2026-09-08 04:32:34.829994,2026-09-08 05:07:34.829994,5,UP,SCHEDULED
TR-11150,11150,2026-09-08,SEC-B02,Akola–Bhusawal,EXPRESS,2026-09-08 06:06:58.233646,2026-09-08 06:46:58.233646,6,DN,RUNNING
TR-11151,11151,2026-09-08,SEC-B02,Akola–Bhusawal,FREIGHT,2026-09-08 07:20:13.564808,2026-09-08 08:05:13.564808,3,DN,SCHEDULED
TR-11152,11152,2026-09-08,SEC-B02,Akola–Bhusawal,FREIGHT,2026-09-08 09:04:57.957005,2026-09-08 09:34:57.957005,9,DN,SCHEDULED
TR-11153,11153,2026-09-08,SEC-B02,Akola–Bhusawal,EXPRESS,2026-09-08 10:20:19.874919,2026-09-08 10:45:19.874919,6,DN,DELAYED
TR-11154,11154,2026-09-08,SEC-B02,Akola–Bhusawal,PASSENGER,2026-09-08 11:45:58.288937,2026-09-08 12:30:58.288937,0,UP,DELAYED
TR-11155,11155,2026-09-08,SEC-B02,Akola–Bhusawal,PASSENGER,2026-09-08 13:18:07.398419,2026-09-08 13:58:07.398419,17,UP,SCHEDULED
TR-11156,11156,2026-09-08,SEC-B02,Akola–Bhusawal,PASSENGER,2026-09-08 14:55:24.258224,2026-09-08 15:30:24.258224,7,UP,RUNNING
TR-11157,11157,2026-09-08,SEC-B02,Akola–Bhusawal,PASSENGER,2026-09-08 16:28:23.933881,2026-09-08 17:03:23.933881,0,UP,RUNNING
TR-11158,11158,2026-09-08,SEC-B02,Akola–Bhusawal,EXPRESS,2026-09-08 17:52:41.984295,2026-09-08 18:17:41.984295,8,UP,RUNNING
TR-11159,11159,2026-09-08,SEC-B02,Akola–Bhusawal,SPECIAL,2026-09-08 19:28:08.796254,2026-09-08 20:08:08.796254,0,DN,RUNNING
TR-11160,11160,2026-09-08,SEC-B02,Akola–Bhusawal,FREIGHT,2026-09-08 21:11:27.187185,2026-09-08 21:46:27.187185,13,UP,RUNNING
TR-11161,11161,2026-09-08,SEC-B02,Akola–Bhusawal,FREIGHT,2026-09-08 22:38:39.713990,2026-09-08 23:23:39.713990,16,UP,SCHEDULED
TR-11162,11162,2026-09-08,SEC-C01,Bhusawal–Jalgaon,PASSENGER,2026-09-08 23:58:32.317354,2026-09-09 00:23:32.317354,0,DN,RUNNING
TR-11163,11163,2026-09-08,SEC-C01,Bhusawal–Jalgaon,PASSENGER,2026-09-08 02:37:32.991837,2026-09-08 03:02:32.991837,10,DN,SCHEDULED
