work_order_id,defect_id,department,section_id,km_location,estimated_duration_minutes,block_requirement,required_team,readiness_status,work_order_status,priority_input
WO-SMMS-2026-0064,SMMS-2026-0064,S&T,SEC-B02,304.006,90,TRAFFIC_BLOCK,S&T team B,Ready,OPEN,HIGH
WO-SMMS-2026-0065,SMMS-2026-0065,S&T,SEC-C01,340.281,90,TRAFFIC_BLOCK,S&T team B,Ready,OPEN,MEDIUM
WO-SMMS-2026-0066,SMMS-2026-0066,S&T,SEC-C01,340.889,45,TRAFFIC_BLOCK,S&T team B,Ready,OPEN,LOW
WO-SMMS-2026-0067,SMMS-2026-0067,S&T,SEC-C01,371.409,120,TRAFFIC_BLOCK,S&T team B,Inspection pending,PLANNED,HIGH
WO-SMMS-2026-0068,SMMS-2026-0068,S&T,SEC-B01,183.143,90,SIGNALLING_AND_TRAFFIC_BLOCK,S&T team B,Ready,PLANNED,HIGH
WO-SMMS-2026-0069,SMMS-2026-0069,S&T,SEC-A02,128.041,60,SIGNALLING_AND_TRAFFIC_BLOCK,S&T team B,Ready,OPEN,MEDIUM
WO-SMMS-2026-0070,SMMS-2026-0070,S&T,SEC-A01,61.183,60,TRAFFIC_BLOCK,S&T team B,Inspection pending,PLANNED,MEDIUM
WO-SMMS-2026-0071,SMMS-2026-0071,S&T,SEC-B02,269.562,60,SIGNALLING_AND_TRAFFIC_BLOCK,S&T team B,Ready,PLANNED,LOW
WO-SMMS-2026-0072,SMMS-2026-0072,S&T,SEC-A01,26.498,45,TRAFFIC_BLOCK,S&T team A,Inspection pending,PLANNED,LOW
WO-SMMS-2026-0073,SMMS-2026-0073,S&T,SEC-B02,264.517,90,TRAFFIC_BLOCK,S&T team A,Ready,OPEN,MEDIUM
WO-SMMS-2026-0074,SMMS-2026-0074,S&T,SEC-C01,357.186,120,TRAFFIC_BLOCK,S&T team B,Ready,PLANNED,CRITICAL
WO-SMMS-2026-0075,SMMS-2026-0075,S&T,SEC-A02,113.32,120,TRAFFIC_BLOCK,S&T team A,Ready,PLANNED,CRITICAL
WO-SMMS-2026-0076,SMMS-2026-0076,S&T,SEC-B02,242.963,120,SIGNALLING_AND_TRAFFIC_BLOCK,S&T team B,Ready,OPEN,HIGH
WO-SMMS-2026-0077,SMMS-2026-0077,S&T,SEC-C01,382.481,30,TRAFFIC_BLOCK,S&T team A,Material pending,PLANNED,LOW
WO-SMMS-2026-0078,SMMS-2026-0078,S&T,SEC-A02,110.686,60,TRAFFIC_BLOCK,S&T team B,Material pending,OPEN,MEDIUM
WO-SMMS-2026-0079,SMMS-2026-0079,S&T,SEC-B01,202.565,60,TRAFFIC_BLOCK,S&T team A,Ready,OPEN,HIGH
WO-SMMS-2026-0080,SMMS-2026-0080,S&T,SEC-B01,196.613,45,TRAFFIC_BLOCK,S&T team B,Ready,PLANNED,MEDIUM
WO-SMMS-2026-0081,SMMS-2026-0081,S&T,SEC-B02,277.218,90,TRAFFIC_BLOCK,S&T team A,Ready,OPEN,HIGH
WO-SMMS-2026-0082,SMMS-2026-0082,S&T,SEC-A01,4.036,90,SIGNALLING_AND_TRAFFIC_BLOCK,S&T team B,Inspection pending,OPEN,MEDIUM
WO-SMMS-2026-0083,SMMS-2026-0083,S&T,SEC-A01,52.488,120,TRAFFIC_BLOCK,S&T team B,Ready,OPEN,HIGH
WO-SMMS-2026-0084,SMMS-2026-0084,S&T,SEC-A01,52.146,90,SIGNALLING_AND_TRAFFIC_BLOCK,S&T team B,Ready,PLANNED,HIGH
WO-SMMS-2026-0085,SMMS-2026-0085,S&T,SEC-B02,263.875,45,TRAFFIC_BLOCK,S&T team A,Inspection pending,OPEN,LOW
WO-SMMS-2026-0086,SMMS-2026-0086,S&T,SEC-C01,356.363,60,TRAFFIC_BLOCK,S&T team A,Ready,OPEN,HIGH
WO-SMMS-2026-0087,SMMS-2026-0087,S&T,SEC-A01,17.037,60,SIGNALLING_AND_TRAFFIC_BLOCK,S&T team A,Material pending,PLANNED,MEDIUM
WO-SMMS-2026-0088,SMMS-2026-0088,S&T,SEC-B02,323.567,30,SIGNALLING_AND_TRAFFIC_BLOCK,S&T team B,Ready,OPEN,LOW
WO-SMMS-2026-0089,SMMS-2026-0089,S&T,SEC-B01,200.997,45,SIGNALLING_AND_TRAFFIC_BLOCK,S&T team A,Ready,PLANNED,MEDIUM
WO-SMMS-2026-0090,SMMS-2026-0090,S&T,SEC-B01,184.014,120,SIGNALLING_AND_TRAFFIC_BLOCK,S&T team B,Ready,PLANNED,HIGH
