date,section_id,department,teams_available,equipment_status,material_status
2026-09-14,SEC-B01,TRACTION,1,LIMITED,AVAILABLE
2026-09-14,SEC-B01,S&T,1,AVAILABLE,LOW_STOCK
2026-09-15,SEC-B01,ENGINEERING,2,AVAILABLE,AVAILABLE
2026-09-15,SEC-B01,TRACTION,2,AVAILABLE,LOW_STOCK
2026-09-15,SEC-B01,S&T,1,LIMITED,AVAILABLE
2026-09-16,SEC-B01,ENGINEERING,2,AVAILABLE,LOW_STOCK
2026-09-16,SEC-B01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-16,SEC-B01,S&T,1,AVAILABLE,AVAILABLE
2026-09-17,SEC-B01,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-17,SEC-B01,TRACTION,1,AVAILABLE,LOW_STOCK
2026-09-17,SEC-B01,S&T,1,AVAILABLE,LOW_STOCK
2026-09-18,SEC-B01,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-18,SEC-B01,TRACTION,2,LIMITED,AVAILABLE
2026-09-18,SEC-B01,S&T,1,AVAILABLE,LOW_STOCK
2026-09-19,SEC-B01,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-19,SEC-B01,TRACTION,1,LIMITED,AVAILABLE
2026-09-19,SEC-B01,S&T,1,LIMITED,LOW_STOCK
2026-09-20,SEC-B01,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-20,SEC-B01,TRACTION,2,AVAILABLE,AVAILABLE
2026-09-20,SEC-B01,S&T,1,AVAILABLE,AVAILABLE
2026-09-21,SEC-B01,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-21,SEC-B01,TRACTION,1,AVAILABLE,LOW_STOCK
2026-09-21,SEC-B01,S&T,2,LIMITED,AVAILABLE
2026-09-22,SEC-B01,ENGINEERING,1,LIMITED,AVAILABLE
2026-09-22,SEC-B01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-22,SEC-B01,S&T,2,AVAILABLE,AVAILABLE
2026-09-23,SEC-B01,ENGINEERING,1,LIMITED,LOW_STOCK
2026-09-23,SEC-B01,TRACTION,1,AVAILABLE,LOW_STOCK
2026-09-23,SEC-B01,S&T,1,AVAILABLE,AVAILABLE
2026-09-24,SEC-B01,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-24,SEC-B01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-24,SEC-B01,S&T,2,LIMITED,AVAILABLE
2026-09-25,SEC-B01,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-25,SEC-B01,TRACTION,2,AVAILABLE,AVAILABLE
2026-09-25,SEC-B01,S&T,1,AVAILABLE,AVAILABLE
2026-09-26,SEC-B01,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-26,SEC-B01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-26,SEC-B01,S&T,1,AVAILABLE,LOW_STOCK
2026-09-27,SEC-B01,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-27,SEC-B01,TRACTION,2,AVAILABLE,LOW_STOCK
2026-09-27,SEC-B01,S&T,1,LIMITED,AVAILABLE
2026-09-28,SEC-B01,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-28,SEC-B01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-28,SEC-B01,S&T,1,LIMITED,AVAILABLE
2026-09-29,SEC-B01,ENGINEERING,2,AVAILABLE,AVAILABLE
2026-09-29,SEC-B01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-29,SEC-B01,S&T,1,AVAILABLE,AVAILABLE
2026-09-30,SEC-B01,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-30,SEC-B01,TRACTION,1,LIMITED,LOW_STOCK
2026-09-30,SEC-B01,S&T,1,AVAILABLE,AVAILABLE
2026-10-01,SEC-B01,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-10-01,SEC-B01,TRACTION,1,LIMITED,AVAILABLE
2026-10-01,SEC-B01,S&T,1,LIMITED,LOW_STOCK
2026-10-02,SEC-B01,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-10-02,SEC-B01,TRACTION,1,AVAILABLE,LOW_STOCK
2026-10-02,SEC-B01,S&T,2,AVAILABLE,LOW_STOCK
2026-10-03,SEC-B01,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-10-03,SEC-B01,TRACTION,2,LIMITED,LOW_STOCK
2026-10-03,SEC-B01,S&T,2,LIMITED,AVAILABLE
2026-10-04,SEC-B01,ENGINEERING,2,AVAILABLE,LOW_STOCK
2026-10-04,SEC-B01,TRACTION,1,AVAILABLE,LOW_STOCK
2026-10-04,SEC-B01,S&T,1,LIMITED,AVAILABLE
2026-09-07,SEC-B02,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-07,SEC-B02,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-07,SEC-B02,S&T,1,LIMITED,LOW_STOCK
2026-09-08,SEC-B02,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-08,SEC-B02,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-08,SEC-B02,S&T,1,AVAILABLE,AVAILABLE
2026-09-09,SEC-B02,ENGINEERING,2,LIMITED,LOW_STOCK
2026-09-09,SEC-B02,TRACTION,1,AVAILABLE,LOW_STOCK
2026-09-09,SEC-B02,S&T,1,LIMITED,AVAILABLE
2026-09-10,SEC-B02,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-10,SEC-B02,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-10,SEC-B02,S&T,1,LIMITED,AVAILABLE
2026-09-11,SEC-B02,ENGINEERING,1,LIMITED,AVAILABLE
2026-09-11,SEC-B02,TRACTION,1,LIMITED,LOW_STOCK
2026-09-11,SEC-B02,S&T,1,LIMITED,LOW_STOCK
2026-09-12,SEC-B02,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-12,SEC-B02,TRACTION,1,LIMITED,AVAILABLE
2026-09-12,SEC-B02,S&T,1,LIMITED,LOW_STOCK
2026-09-13,SEC-B02,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-13,SEC-B02,TRACTION,1,AVAILABLE,LOW_STOCK
2026-09-13,SEC-B02,S&T,1,AVAILABLE,LOW_STOCK
2026-09-14,SEC-B02,ENGINEERING,2,AVAILABLE,AVAILABLE
2026-09-14,SEC-B02,TRACTION,1,AVAILABLE,LOW_STOCK
2026-09-14,SEC-B02,S&T,1,LIMITED,LOW_STOCK
2026-09-15,SEC-B02,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-15,SEC-B02,TRACTION,1,AVAILABLE,LOW_STOCK
2026-09-15,SEC-B02,S&T,2,LIMITED,AVAILABLE
2026-09-16,SEC-B02,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-16,SEC-B02,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-16,SEC-B02,S&T,2,AVAILABLE,AVAILABLE
2026-09-17,SEC-B02,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-17,SEC-B02,TRACTION,1,LIMITED,AVAILABLE
2026-09-17,SEC-B02,S&T,1,AVAILABLE,AVAILABLE
2026-09-18,SEC-B02,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-18,SEC-B02,TRACTION,1,AVAILABLE,LOW_STOCK
2026-09-18,SEC-B02,S&T,1,LIMITED,AVAILABLE
2026-09-19,SEC-B02,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-19,SEC-B02,TRACTION,2,AVAILABLE,AVAILABLE
2026-09-19,SEC-B02,S&T,1,LIMITED,LOW_STOCK
2026-09-20,SEC-B02,ENGINEERING,2,LIMITED,AVAILABLE
2026-09-20,SEC-B02,TRACTION,2,AVAILABLE,AVAILABLE
2026-09-20,SEC-B02,S&T,1,AVAILABLE,LOW_STOCK
2026-09-21,SEC-B02,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-21,SEC-B02,TRACTION,1,LIMITED,AVAILABLE
2026-09-21,SEC-B02,S&T,1,AVAILABLE,AVAILABLE
2026-09-22,SEC-B02,ENGINEERING,2,LIMITED,AVAILABLE
2026-09-22,SEC-B02,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-22,SEC-B02,S&T,1,LIMITED,AVAILABLE
2026-09-23,SEC-B02,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-23,SEC-B02,TRACTION,1,LIMITED,LOW_STOCK
2026-09-23,SEC-B02,S&T,1,LIMITED,AVAILABLE
2026-09-24,SEC-B02,ENGINEERING,2,LIMITED,AVAILABLE
2026-09-24,SEC-B02,TRACTION,1,LIMITED,AVAILABLE
2026-09-24,SEC-B02,S&T,1,LIMITED,AVAILABLE
2026-09-25,SEC-B02,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-25,SEC-B02,TRACTION,2,AVAILABLE,LOW_STOCK
2026-09-25,SEC-B02,S&T,1,AVAILABLE,AVAILABLE
2026-09-26,SEC-B02,ENGINEERING,1,LIMITED,AVAILABLE
2026-09-26,SEC-B02,TRACTION,1,LIMITED,AVAILABLE
2026-09-26,SEC-B02,S&T,2,LIMITED,AVAILABLE
2026-09-27,SEC-B02,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-27,SEC-B02,TRACTION,1,LIMITED,AVAILABLE
2026-09-27,SEC-B02,S&T,2,AVAILABLE,AVAILABLE
2026-09-28,SEC-B02,ENGINEERING,1,LIMITED,LOW_STOCK
2026-09-28,SEC-B02,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-28,SEC-B02,S&T,2,LIMITED,LOW_STOCK
2026-09-29,SEC-B02,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-29,SEC-B02,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-29,SEC-B02,S&T,1,AVAILABLE,AVAILABLE
2026-09-30,SEC-B02,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-30,SEC-B02,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-30,SEC-B02,S&T,2,AVAILABLE,AVAILABLE
2026-10-01,SEC-B02,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-10-01,SEC-B02,TRACTION,1,AVAILABLE,LOW_STOCK
2026-10-01,SEC-B02,S&T,1,AVAILABLE,LOW_STOCK
2026-10-02,SEC-B02,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-10-02,SEC-B02,TRACTION,1,AVAILABLE,AVAILABLE
2026-10-02,SEC-B02,S&T,1,LIMITED,LOW_STOCK
2026-10-03,SEC-B02,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-10-03,SEC-B02,TRACTION,2,LIMITED,LOW_STOCK
2026-10-03,SEC-B02,S&T,1,AVAILABLE,AVAILABLE
2026-10-04,SEC-B02,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-10-04,SEC-B02,TRACTION,1,LIMITED,LOW_STOCK
2026-10-04,SEC-B02,S&T,1,AVAILABLE,AVAILABLE
2026-09-07,SEC-C01,ENGINEERING,1,LIMITED,AVAILABLE
2026-09-07,SEC-C01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-07,SEC-C01,S&T,2,AVAILABLE,LOW_STOCK
2026-09-08,SEC-C01,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-08,SEC-C01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-08,SEC-C01,S&T,1,AVAILABLE,AVAILABLE
2026-09-09,SEC-C01,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-09,SEC-C01,TRACTION,2,LIMITED,AVAILABLE
2026-09-09,SEC-C01,S&T,1,AVAILABLE,LOW_STOCK
2026-09-10,SEC-C01,ENGINEERING,2,LIMITED,LOW_STOCK
2026-09-10,SEC-C01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-10,SEC-C01,S&T,1,AVAILABLE,LOW_STOCK
2026-09-11,SEC-C01,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-11,SEC-C01,TRACTION,1,AVAILABLE,LOW_STOCK
2026-09-11,SEC-C01,S&T,1,AVAILABLE,LOW_STOCK
2026-09-12,SEC-C01,ENGINEERING,2,AVAILABLE,LOW_STOCK
2026-09-12,SEC-C01,TRACTION,1,LIMITED,AVAILABLE
2026-09-12,SEC-C01,S&T,2,AVAILABLE,AVAILABLE
2026-09-13,SEC-C01,ENGINEERING,1,LIMITED,AVAILABLE
2026-09-13,SEC-C01,TRACTION,1,LIMITED,AVAILABLE
2026-09-13,SEC-C01,S&T,1,AVAILABLE,AVAILABLE
2026-09-14,SEC-C01,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-14,SEC-C01,TRACTION,2,LIMITED,AVAILABLE
2026-09-14,SEC-C01,S&T,2,LIMITED,LOW_STOCK
2026-09-15,SEC-C01,ENGINEERING,2,AVAILABLE,LOW_STOCK
2026-09-15,SEC-C01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-15,SEC-C01,S&T,1,AVAILABLE,AVAILABLE
2026-09-16,SEC-C01,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-16,SEC-C01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-16,SEC-C01,S&T,1,AVAILABLE,LOW_STOCK
2026-09-17,SEC-C01,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-17,SEC-C01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-17,SEC-C01,S&T,1,AVAILABLE,LOW_STOCK
2026-09-18,SEC-C01,ENGINEERING,1,AVAILABLE,AVAILABLE
