window_id,section_id,start_time,end_time,scheduled_train_count,forecast_utilization_percent,availability_status,traffic_impact_level
WIN-SEC-B01-2026090700,SEC-B01,2026-09-07 00:00:00,2026-09-07 01:00:00,1,47,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090701,SEC-B01,2026-09-07 01:00:00,2026-09-07 02:00:00,1,47,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090702,SEC-B01,2026-09-07 02:00:00,2026-09-07 03:00:00,1,47,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090703,SEC-B01,2026-09-07 03:00:00,2026-09-07 04:00:00,1,47,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090704,SEC-B01,2026-09-07 04:00:00,2026-09-07 05:00:00,1,47,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090705,SEC-B01,2026-09-07 05:00:00,2026-09-07 06:00:00,0,47,AVAILABLE,LOW
WIN-SEC-B01-2026090706,SEC-B01,2026-09-07 06:00:00,2026-09-07 07:00:00,1,64,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090707,SEC-B01,2026-09-07 07:00:00,2026-09-07 08:00:00,1,64,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090708,SEC-B01,2026-09-07 08:00:00,2026-09-07 09:00:00,2,64,UNAVAILABLE,HIGH
WIN-SEC-B01-2026090709,SEC-B01,2026-09-07 09:00:00,2026-09-07 10:00:00,1,71,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090710,SEC-B01,2026-09-07 10:00:00,2026-09-07 11:00:00,1,71,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090711,SEC-B01,2026-09-07 11:00:00,2026-09-07 12:00:00,1,71,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090712,SEC-B01,2026-09-07 12:00:00,2026-09-07 13:00:00,1,50,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090713,SEC-B01,2026-09-07 13:00:00,2026-09-07 14:00:00,1,50,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090714,SEC-B01,2026-09-07 14:00:00,2026-09-07 15:00:00,2,50,UNAVAILABLE,HIGH
WIN-SEC-B01-2026090715,SEC-B01,2026-09-07 15:00:00,2026-09-07 16:00:00,1,55,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090716,SEC-B01,2026-09-07 16:00:00,2026-09-07 17:00:00,1,55,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090717,SEC-B01,2026-09-07 17:00:00,2026-09-07 18:00:00,1,55,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090718,SEC-B01,2026-09-07 18:00:00,2026-09-07 19:00:00,1,58,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090719,SEC-B01,2026-09-07 19:00:00,2026-09-07 20:00:00,1,58,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090720,SEC-B01,2026-09-07 20:00:00,2026-09-07 21:00:00,1,58,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090721,SEC-B01,2026-09-07 21:00:00,2026-09-07 22:00:00,1,64,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090722,SEC-B01,2026-09-07 22:00:00,2026-09-07 23:00:00,1,64,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090723,SEC-B01,2026-09-07 23:00:00,2026-09-08 00:00:00,1,64,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090700,SEC-B02,2026-09-07 00:00:00,2026-09-07 01:00:00,0,43,AVAILABLE,LOW
WIN-SEC-B02-2026090701,SEC-B02,2026-09-07 01:00:00,2026-09-07 02:00:00,1,43,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090702,SEC-B02,2026-09-07 02:00:00,2026-09-07 03:00:00,2,43,UNAVAILABLE,HIGH
WIN-SEC-B02-2026090703,SEC-B02,2026-09-07 03:00:00,2026-09-07 04:00:00,1,45,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090704,SEC-B02,2026-09-07 04:00:00,2026-09-07 05:00:00,1,45,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090705,SEC-B02,2026-09-07 05:00:00,2026-09-07 06:00:00,2,45,UNAVAILABLE,HIGH
WIN-SEC-B02-2026090706,SEC-B02,2026-09-07 06:00:00,2026-09-07 07:00:00,1,62,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090707,SEC-B02,2026-09-07 07:00:00,2026-09-07 08:00:00,1,62,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090708,SEC-B02,2026-09-07 08:00:00,2026-09-07 09:00:00,1,62,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090709,SEC-B02,2026-09-07 09:00:00,2026-09-07 10:00:00,1,63,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090710,SEC-B02,2026-09-07 10:00:00,2026-09-07 11:00:00,1,63,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090711,SEC-B02,2026-09-07 11:00:00,2026-09-07 12:00:00,1,63,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090712,SEC-B02,2026-09-07 12:00:00,2026-09-07 13:00:00,1,57,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090713,SEC-B02,2026-09-07 13:00:00,2026-09-07 14:00:00,1,57,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090714,SEC-B02,2026-09-07 14:00:00,2026-09-07 15:00:00,1,57,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090715,SEC-B02,2026-09-07 15:00:00,2026-09-07 16:00:00,1,49,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090716,SEC-B02,2026-09-07 16:00:00,2026-09-07 17:00:00,1,49,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090717,SEC-B02,2026-09-07 17:00:00,2026-09-07 18:00:00,2,49,UNAVAILABLE,HIGH
WIN-SEC-B02-2026090718,SEC-B02,2026-09-07 18:00:00,2026-09-07 19:00:00,1,54,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090719,SEC-B02,2026-09-07 19:00:00,2026-09-07 20:00:00,1,54,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090720,SEC-B02,2026-09-07 20:00:00,2026-09-07 21:00:00,2,54,UNAVAILABLE,HIGH
WIN-SEC-B02-2026090721,SEC-B02,2026-09-07 21:00:00,2026-09-07 22:00:00,1,74,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090722,SEC-B02,2026-09-07 22:00:00,2026-09-07 23:00:00,1,74,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090723,SEC-B02,2026-09-07 23:00:00,2026-09-08 00:00:00,2,74,UNAVAILABLE,HIGH
WIN-SEC-C01-2026090700,SEC-C01,2026-09-07 00:00:00,2026-09-07 01:00:00,1,32,UNAVAILABLE,MEDIUM
WIN-SEC-C01-2026090701,SEC-C01,2026-09-07 01:00:00,2026-09-07 02:00:00,0,32,AVAILABLE,LOW
WIN-SEC-C01-2026090702,SEC-C01,2026-09-07 02:00:00,2026-09-07 03:00:00,1,32,UNAVAILABLE,MEDIUM
WIN-SEC-C01-2026090703,SEC-C01,2026-09-07 03:00:00,2026-09-07 04:00:00,1,16,UNAVAILABLE,MEDIUM
WIN-SEC-C01-2026090704,SEC-C01,2026-09-07 04:00:00,2026-09-07 05:00:00,1,16,UNAVAILABLE,MEDIUM
WIN-SEC-C01-2026090705,SEC-C01,2026-09-07 05:00:00,2026-09-07 06:00:00,1,16,UNAVAILABLE,MEDIUM
WIN-SEC-C01-2026090706,SEC-C01,2026-09-07 06:00:00,2026-09-07 07:00:00,0,48,UNAVAILABLE,MEDIUM
WIN-SEC-C01-2026090707,SEC-C01,2026-09-07 07:00:00,2026-09-07 08:00:00,1,48,UNAVAILABLE,MEDIUM
WIN-SEC-C01-2026090708,SEC-C01,2026-09-07 08:00:00,2026-09-07 09:00:00,0,48,UNAVAILABLE,MEDIUM
WIN-SEC-C01-2026090709,SEC-C01,2026-09-07 09:00:00,2026-09-07 10:00:00,1,41,UNAVAILABLE,MEDIUM
WIN-SEC-C01-2026090710,SEC-C01,2026-09-07 10:00:00,2026-09-07 11:00:00,1,41,UNAVAILABLE,MEDIUM
WIN-SEC-C01-2026090711,SEC-C01,2026-09-07 11:00:00,2026-09-07 12:00:00,1,41,UNAVAILABLE,MEDIUM
WIN-SEC-C01-2026090712,SEC-C01,2026-09-07 12:00:00,2026-09-07 13:00:00,1,34,UNAVAILABLE,MEDIUM
WIN-SEC-C01-2026090713,SEC-C01,2026-09-07 13:00:00,2026-09-07 14:00:00,0,34,AVAILABLE,LOW
WIN-SEC-C01-2026090714,SEC-C01,2026-09-07 14:00:00,2026-09-07 15:00:00,1,34,UNAVAILABLE,MEDIUM
WIN-SEC-C01-2026090715,SEC-C01,2026-09-07 15:00:00,2026-09-07 16:00:00,1,34,UNAVAILABLE,MEDIUM
WIN-SEC-C01-2026090716,SEC-C01,2026-09-07 16:00:00,2026-09-07 17:00:00,1,34,UNAVAILABLE,MEDIUM
WIN-SEC-C01-2026090717,SEC-C01,2026-09-07 17:00:00,2026-09-07 18:00:00,1,34,UNAVAILABLE,MEDIUM
WIN-SEC-C01-2026090718,SEC-C01,2026-09-07 18:00:00,2026-09-07 19:00:00,0,43,UNAVAILABLE,MEDIUM
WIN-SEC-C01-2026090719,SEC-C01,2026-09-07 19:00:00,2026-09-07 20:00:00,1,43,UNAVAILABLE,MEDIUM
WIN-SEC-C01-2026090720,SEC-C01,2026-09-07 20:00:00,2026-09-07 21:00:00,0,43,UNAVAILABLE,MEDIUM
WIN-SEC-C01-2026090721,SEC-C01,2026-09-07 21:00:00,2026-09-07 22:00:00,1,39,UNAVAILABLE,MEDIUM
WIN-SEC-C01-2026090722,SEC-C01,2026-09-07 22:00:00,2026-09-07 23:00:00,1,39,UNAVAILABLE,MEDIUM
WIN-SEC-C01-2026090723,SEC-C01,2026-09-07 23:00:00,2026-09-08 00:00:00,0,39,AVAILABLE,LOW
WIN-SEC-A01-2026090800,SEC-A01,2026-09-08 00:00:00,2026-09-08 01:00:00,0,60,AVAILABLE,LOW
WIN-SEC-A01-2026090801,SEC-A01,2026-09-08 01:00:00,2026-09-08 02:00:00,1,60,UNAVAILABLE,MEDIUM
WIN-SEC-A01-2026090802,SEC-A01,2026-09-08 02:00:00,2026-09-08 03:00:00,1,60,UNAVAILABLE,MEDIUM
WIN-SEC-A01-2026090803,SEC-A01,2026-09-08 03:00:00,2026-09-08 04:00:00,1,59,UNAVAILABLE,MEDIUM
WIN-SEC-A01-2026090804,SEC-A01,2026-09-08 04:00:00,2026-09-08 05:00:00,1,59,UNAVAILABLE,MEDIUM
WIN-SEC-A01-2026090805,SEC-A01,2026-09-08 05:00:00,2026-09-08 06:00:00,1,59,UNAVAILABLE,MEDIUM
WIN-SEC-A01-2026090806,SEC-A01,2026-09-08 06:00:00,2026-09-08 07:00:00,2,79,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090807,SEC-A01,2026-09-08 07:00:00,2026-09-08 08:00:00,2,79,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090808,SEC-A01,2026-09-08 08:00:00,2026-09-08 09:00:00,2,79,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090809,SEC-A01,2026-09-08 09:00:00,2026-09-08 10:00:00,2,84,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090810,SEC-A01,2026-09-08 10:00:00,2026-09-08 11:00:00,2,84,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090811,SEC-A01,2026-09-08 11:00:00,2026-09-08 12:00:00,1,84,UNAVAILABLE,MEDIUM
WIN-SEC-A01-2026090812,SEC-A01,2026-09-08 12:00:00,2026-09-08 13:00:00,2,68,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090813,SEC-A01,2026-09-08 13:00:00,2026-09-08 14:00:00,1,68,UNAVAILABLE,MEDIUM
WIN-SEC-A01-2026090814,SEC-A01,2026-09-08 14:00:00,2026-09-08 15:00:00,1,68,UNAVAILABLE,MEDIUM
WIN-SEC-A01-2026090815,SEC-A01,2026-09-08 15:00:00,2026-09-08 16:00:00,1,76,UNAVAILABLE,MEDIUM
WIN-SEC-A01-2026090816,SEC-A01,2026-09-08 16:00:00,2026-09-08 17:00:00,1,76,UNAVAILABLE,MEDIUM
WIN-SEC-A01-2026090817,SEC-A01,2026-09-08 17:00:00,2026-09-08 18:00:00,2,76,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090818,SEC-A01,2026-09-08 18:00:00,2026-09-08 19:00:00,2,93,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090819,SEC-A01,2026-09-08 19:00:00,2026-09-08 20:00:00,2,93,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090820,SEC-A01,2026-09-08 20:00:00,2026-09-08 21:00:00,2,93,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090821,SEC-A01,2026-09-08 21:00:00,2026-09-08 22:00:00,2,81,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090822,SEC-A01,2026-09-08 22:00:00,2026-09-08 23:00:00,1,81,UNAVAILABLE,MEDIUM
WIN-SEC-A01-2026090823,SEC-A01,2026-09-08 23:00:00,2026-09-09 00:00:00,2,81,UNAVAILABLE,HIGH
WIN-SEC-A02-2026090800,SEC-A02,2026-09-08 00:00:00,2026-09-08 01:00:00,1,65,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090801,SEC-A02,2026-09-08 01:00:00,2026-09-08 02:00:00,1,65,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090802,SEC-A02,2026-09-08 02:00:00,2026-09-08 03:00:00,1,65,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090803,SEC-A02,2026-09-08 03:00:00,2026-09-08 04:00:00,1,67,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090804,SEC-A02,2026-09-08 04:00:00,2026-09-08 05:00:00,1,67,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090805,SEC-A02,2026-09-08 05:00:00,2026-09-08 06:00:00,1,67,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090806,SEC-A02,2026-09-08 06:00:00,2026-09-08 07:00:00,1,87,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090807,SEC-A02,2026-09-08 07:00:00,2026-09-08 08:00:00,2,87,UNAVAILABLE,HIGH
WIN-SEC-A02-2026090808,SEC-A02,2026-09-08 08:00:00,2026-09-08 09:00:00,2,87,UNAVAILABLE,HIGH
WIN-SEC-A02-2026090809,SEC-A02,2026-09-08 09:00:00,2026-09-08 10:00:00,2,84,UNAVAILABLE,HIGH
WIN-SEC-A02-2026090810,SEC-A02,2026-09-08 10:00:00,2026-09-08 11:00:00,2,84,UNAVAILABLE,HIGH
WIN-SEC-A02-2026090811,SEC-A02,2026-09-08 11:00:00,2026-09-08 12:00:00,2,84,UNAVAILABLE,HIGH
WIN-SEC-A02-2026090812,SEC-A02,2026-09-08 12:00:00,2026-09-08 13:00:00,2,76,UNAVAILABLE,HIGH
WIN-SEC-A02-2026090813,SEC-A02,2026-09-08 13:00:00,2026-09-08 14:00:00,1,76,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090814,SEC-A02,2026-09-08 14:00:00,2026-09-08 15:00:00,1,76,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090815,SEC-A02,2026-09-08 15:00:00,2026-09-08 16:00:00,1,75,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090816,SEC-A02,2026-09-08 16:00:00,2026-09-08 17:00:00,1,75,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090817,SEC-A02,2026-09-08 17:00:00,2026-09-08 18:00:00,1,75,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090818,SEC-A02,2026-09-08 18:00:00,2026-09-08 19:00:00,1,77,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090819,SEC-A02,2026-09-08 19:00:00,2026-09-08 20:00:00,2,77,UNAVAILABLE,HIGH
WIN-SEC-A02-2026090820,SEC-A02,2026-09-08 20:00:00,2026-09-08 21:00:00,2,77,UNAVAILABLE,HIGH
WIN-SEC-A02-2026090821,SEC-A02,2026-09-08 21:00:00,2026-09-08 22:00:00,2,89,UNAVAILABLE,HIGH
WIN-SEC-A02-2026090822,SEC-A02,2026-09-08 22:00:00,2026-09-08 23:00:00,2,89,UNAVAILABLE,HIGH
WIN-SEC-A02-2026090823,SEC-A02,2026-09-08 23:00:00,2026-09-09 00:00:00,2,89,UNAVAILABLE,HIGH
WIN-SEC-B01-2026090800,SEC-B01,2026-09-08 00:00:00,2026-09-08 01:00:00,0,49,AVAILABLE,LOW
WIN-SEC-B01-2026090801,SEC-B01,2026-09-08 01:00:00,2026-09-08 02:00:00,1,49,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090802,SEC-B01,2026-09-08 02:00:00,2026-09-08 03:00:00,2,49,UNAVAILABLE,HIGH
WIN-SEC-B01-2026090803,SEC-B01,2026-09-08 03:00:00,2026-09-08 04:00:00,1,39,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090804,SEC-B01,2026-09-08 04:00:00,2026-09-08 05:00:00,1,39,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090805,SEC-B01,2026-09-08 05:00:00,2026-09-08 06:00:00,1,39,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090806,SEC-B01,2026-09-08 06:00:00,2026-09-08 07:00:00,1,64,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090807,SEC-B01,2026-09-08 07:00:00,2026-09-08 08:00:00,1,64,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090808,SEC-B01,2026-09-08 08:00:00,2026-09-08 09:00:00,2,64,UNAVAILABLE,HIGH
WIN-SEC-B01-2026090809,SEC-B01,2026-09-08 09:00:00,2026-09-08 10:00:00,1,68,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090810,SEC-B01,2026-09-08 10:00:00,2026-09-08 11:00:00,1,68,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090811,SEC-B01,2026-09-08 11:00:00,2026-09-08 12:00:00,2,68,UNAVAILABLE,HIGH
WIN-SEC-B01-2026090812,SEC-B01,2026-09-08 12:00:00,2026-09-08 13:00:00,1,51,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090813,SEC-B01,2026-09-08 13:00:00,2026-09-08 14:00:00,1,51,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090814,SEC-B01,2026-09-08 14:00:00,2026-09-08 15:00:00,0,51,AVAILABLE,LOW
WIN-SEC-B01-2026090815,SEC-B01,2026-09-08 15:00:00,2026-09-08 16:00:00,1,58,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090816,SEC-B01,2026-09-08 16:00:00,2026-09-08 17:00:00,1,58,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090817,SEC-B01,2026-09-08 17:00:00,2026-09-08 18:00:00,1,58,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090818,SEC-B01,2026-09-08 18:00:00,2026-09-08 19:00:00,1,78,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090819,SEC-B01,2026-09-08 19:00:00,2026-09-08 20:00:00,1,78,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090820,SEC-B01,2026-09-08 20:00:00,2026-09-08 21:00:00,2,78,UNAVAILABLE,HIGH
WIN-SEC-B01-2026090821,SEC-B01,2026-09-08 21:00:00,2026-09-08 22:00:00,1,59,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090822,SEC-B01,2026-09-08 22:00:00,2026-09-08 23:00:00,1,59,UNAVAILABLE,MEDIUM
WIN-SEC-B01-2026090823,SEC-B01,2026-09-08 23:00:00,2026-09-09 00:00:00,1,59,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090800,SEC-B02,2026-09-08 00:00:00,2026-09-08 01:00:00,1,36,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090801,SEC-B02,2026-09-08 01:00:00,2026-09-08 02:00:00,1,36,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090802,SEC-B02,2026-09-08 02:00:00,2026-09-08 03:00:00,1,36,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090803,SEC-B02,2026-09-08 03:00:00,2026-09-08 04:00:00,1,46,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090804,SEC-B02,2026-09-08 04:00:00,2026-09-08 05:00:00,1,46,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090805,SEC-B02,2026-09-08 05:00:00,2026-09-08 06:00:00,1,46,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090806,SEC-B02,2026-09-08 06:00:00,2026-09-08 07:00:00,1,68,UNAVAILABLE,MEDIUM
WIN-SEC-B02-2026090807,SEC-B02,2026-09-08 07:00:00,2026-09-08 08:00:00,1,68,UNAVAILABLE,MEDIUM
