date,section_id,start_hour,end_hour,forecast_freight_load_index,forecast_utilization_percent,forecast_freight_trains
2026-09-16,SEC-B02,0,3,0.38,38,4
2026-09-16,SEC-B02,3,6,0.44,44,5
2026-09-16,SEC-B02,6,9,0.59,59,8
2026-09-16,SEC-B02,9,12,0.67,67,0
2026-09-16,SEC-B02,12,15,0.41,41,2
2026-09-16,SEC-B02,15,18,0.5,50,0
2026-09-16,SEC-B02,18,21,0.66,66,8
2026-09-16,SEC-B02,21,24,0.65,65,4
2026-09-16,SEC-C01,0,3,0.4,40,3
2026-09-16,SEC-C01,3,6,0.26,26,1
2026-09-16,SEC-C01,6,9,0.38,38,2
2026-09-16,SEC-C01,9,12,0.43,43,1
2026-09-16,SEC-C01,12,15,0.21,21,3
2026-09-16,SEC-C01,15,18,0.32,32,2
2026-09-16,SEC-C01,18,21,0.39,39,1
2026-09-16,SEC-C01,21,24,0.49,49,1
2026-09-17,SEC-A01,0,3,0.61,61,6
2026-09-17,SEC-A01,3,6,0.63,63,4
2026-09-17,SEC-A01,6,9,0.8,80,2
2026-09-17,SEC-A01,9,12,0.94,94,8
2026-09-17,SEC-A01,12,15,0.7,70,1
2026-09-17,SEC-A01,15,18,0.83,83,3
2026-09-17,SEC-A01,18,21,0.89,89,1
2026-09-17,SEC-A01,21,24,0.87,87,9
2026-09-17,SEC-A02,0,3,0.66,66,0
2026-09-17,SEC-A02,3,6,0.66,66,9
2026-09-17,SEC-A02,6,9,0.72,72,10
2026-09-17,SEC-A02,9,12,0.82,82,2
2026-09-17,SEC-A02,12,15,0.77,77,4
2026-09-17,SEC-A02,15,18,0.72,72,8
2026-09-17,SEC-A02,18,21,0.76,76,7
2026-09-17,SEC-A02,21,24,0.84,84,6
2026-09-17,SEC-B01,0,3,0.54,54,1
2026-09-17,SEC-B01,3,6,0.51,51,1
2026-09-17,SEC-B01,6,9,0.64,64,0
2026-09-17,SEC-B01,9,12,0.7,70,3
2026-09-17,SEC-B01,12,15,0.5,50,4
2026-09-17,SEC-B01,15,18,0.42,42,5
2026-09-17,SEC-B01,18,21,0.58,58,1
2026-09-17,SEC-B01,21,24,0.73,73,1
2026-09-17,SEC-B02,0,3,0.42,42,0
2026-09-17,SEC-B02,3,6,0.43,43,2
2026-09-17,SEC-B02,6,9,0.62,62,2
2026-09-17,SEC-B02,9,12,0.75,75,8
2026-09-17,SEC-B02,12,15,0.62,62,1
2026-09-17,SEC-B02,15,18,0.65,65,7
2026-09-17,SEC-B02,18,21,0.63,63,8
2026-09-17,SEC-B02,21,24,0.66,66,5
2026-09-17,SEC-C01,0,3,0.15,15,5
2026-09-17,SEC-C01,3,6,0.33,33,1
2026-09-17,SEC-C01,6,9,0.37,37,1
2026-09-17,SEC-C01,9,12,0.45,45,4
2026-09-17,SEC-C01,12,15,0.25,25,1
2026-09-17,SEC-C01,15,18,0.28,28,1
2026-09-17,SEC-C01,18,21,0.39,39,0
2026-09-17,SEC-C01,21,24,0.4,40,2
2026-09-18,SEC-A01,0,3,0.61,61,2
2026-09-18,SEC-A01,3,6,0.61,61,4
2026-09-18,SEC-A01,6,9,0.89,89,8
2026-09-18,SEC-A01,9,12,0.77,77,0
2026-09-18,SEC-A01,12,15,0.73,73,8
2026-09-18,SEC-A01,15,18,0.79,79,8
2026-09-18,SEC-A01,18,21,0.81,81,0
2026-09-18,SEC-A01,21,24,0.8,80,6
2026-09-18,SEC-A02,0,3,0.63,63,2
2026-09-18,SEC-A02,3,6,0.71,71,2
2026-09-18,SEC-A02,6,9,0.85,85,0
2026-09-18,SEC-A02,9,12,0.81,81,7
2026-09-18,SEC-A02,12,15,0.75,75,2
2026-09-18,SEC-A02,15,18,0.65,65,2
2026-09-18,SEC-A02,18,21,0.88,88,3
2026-09-18,SEC-A02,21,24,0.86,86,9
2026-09-18,SEC-B01,0,3,0.42,42,2
2026-09-18,SEC-B01,3,6,0.39,39,4
2026-09-18,SEC-B01,6,9,0.59,59,4
2026-09-18,SEC-B01,9,12,0.67,67,7
2026-09-18,SEC-B01,12,15,0.59,59,3
2026-09-18,SEC-B01,15,18,0.48,48,3
2026-09-18,SEC-B01,18,21,0.67,67,2
2026-09-18,SEC-B01,21,24,0.51,51,5
2026-09-18,SEC-B02,0,3,0.4,40,0
2026-09-18,SEC-B02,3,6,0.44,44,5
2026-09-18,SEC-B02,6,9,0.59,59,3
2026-09-18,SEC-B02,9,12,0.58,58,2
2026-09-18,SEC-B02,12,15,0.48,48,5
2026-09-18,SEC-B02,15,18,0.54,54,4
2026-09-18,SEC-B02,18,21,0.63,63,0
2026-09-18,SEC-B02,21,24,0.51,51,0
2026-09-18,SEC-C01,0,3,0.11,11,3
2026-09-18,SEC-C01,3,6,0.2,20,1
2026-09-18,SEC-C01,6,9,0.47,47,0
2026-09-18,SEC-C01,9,12,0.28,28,2
2026-09-18,SEC-C01,12,15,0.29,29,3
2026-09-18,SEC-C01,15,18,0.29,29,4
2026-09-18,SEC-C01,18,21,0.52,52,3
2026-09-18,SEC-C01,21,24,0.42,42,5
2026-09-19,SEC-A01,0,3,0.66,66,6
2026-09-19,SEC-A01,3,6,0.65,65,8
2026-09-19,SEC-A01,6,9,0.71,71,8
2026-09-19,SEC-A01,9,12,0.89,89,6
2026-09-19,SEC-A01,12,15,0.73,73,8
2026-09-19,SEC-A01,15,18,0.75,75,7
2026-09-19,SEC-A01,18,21,0.98,98,10
2026-09-19,SEC-A01,21,24,0.71,71,8
2026-09-19,SEC-A02,0,3,0.74,74,5
2026-09-19,SEC-A02,3,6,0.62,62,9
2026-09-19,SEC-A02,6,9,0.86,86,9
2026-09-19,SEC-A02,9,12,0.84,84,6
2026-09-19,SEC-A02,12,15,0.69,69,4
2026-09-19,SEC-A02,15,18,0.69,69,8
2026-09-19,SEC-A02,18,21,0.86,86,6
2026-09-19,SEC-A02,21,24,0.75,75,2
2026-09-19,SEC-B01,0,3,0.49,49,4
2026-09-19,SEC-B01,3,6,0.42,42,3
2026-09-19,SEC-B01,6,9,0.57,57,2
2026-09-19,SEC-B01,9,12,0.61,61,0
2026-09-19,SEC-B01,12,15,0.6,60,3
2026-09-19,SEC-B01,15,18,0.49,49,0
2026-09-19,SEC-B01,18,21,0.66,66,9
2026-09-19,SEC-B01,21,24,0.6,60,5
2026-09-19,SEC-B02,0,3,0.49,49,2
2026-09-19,SEC-B02,3,6,0.48,48,0
2026-09-19,SEC-B02,6,9,0.75,75,9
2026-09-19,SEC-B02,9,12,0.63,63,6
2026-09-19,SEC-B02,12,15,0.56,56,6
2026-09-19,SEC-B02,15,18,0.53,53,3
2026-09-19,SEC-B02,18,21,0.72,72,4
2026-09-19,SEC-B02,21,24,0.6,60,5
2026-09-19,SEC-C01,0,3,0.28,28,0
2026-09-19,SEC-C01,3,6,0.23,23,2
2026-09-19,SEC-C01,6,9,0.44,44,3
2026-09-19,SEC-C01,9,12,0.45,45,1
2026-09-19,SEC-C01,12,15,0.34,34,0
2026-09-19,SEC-C01,15,18,0.31,31,1
2026-09-19,SEC-C01,18,21,0.45,45,3
2026-09-19,SEC-C01,21,24,0.53,53,5
2026-09-20,SEC-A01,0,3,0.7,70,2
2026-09-20,SEC-A01,3,6,0.69,69,7
2026-09-20,SEC-A01,6,9,0.81,81,9
2026-09-20,SEC-A01,9,12,0.79,79,2
2026-09-20,SEC-A01,12,15,0.78,78,10
2026-09-20,SEC-A01,15,18,0.77,77,4
2026-09-20,SEC-A01,18,21,0.93,93,6
2026-09-20,SEC-A01,21,24,0.8,80,3
2026-09-20,SEC-A02,0,3,0.63,63,2
2026-09-20,SEC-A02,3,6,0.54,54,0
2026-09-20,SEC-A02,6,9,0.82,82,3
2026-09-20,SEC-A02,9,12,0.9,90,7
2026-09-20,SEC-A02,12,15,0.69,69,4
2026-09-20,SEC-A02,15,18,0.76,76,7
